System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
SPSAR4,2026-02-02,162209.64,4990.24,100.63,100.83,-2622.00,-0.20,1318653.12,159841.40,1309538.43,-3850.90,-0.67
SPSAR5,2026-02-02,162209.64,4145.71,100.72,100.92,-2622.00,-0.20,1318653.12,160685.93,1309538.43,-3006.37,-0.63
SPSAR6,2026-02-02,163751.64,-3843.31,101.55,101.63,-1080.00,-0.08,1318653.12,168674.95,1309538.43,4982.65,-0.08
SPSAR7,2026-02-02,163751.64,-4586.83,100.36,100.44,-1080.00,-0.08,1318653.12,169418.47,1309538.43,5726.17,-0.15
SPSAR8,2026-02-02,164102.62,-474.99,99.15,99.20,-729.02,-0.06,1318653.12,165306.63,1309538.43,1614.33,-1.34
SPSAR9,2026-02-02,164102.62,-445.02,99.35,99.40,-729.02,-0.06,1318653.12,165276.66,1309538.43,1584.36,-1.14
NLONG1,2026-02-02,6421.27,-15868.10,102.45,101.79,6421.27,0.65,988989.83,15868.10,982153.81,15868.10,0.00
NLONG10,2026-02-02,8338.67,-9448.24,101.73,100.88,8338.67,0.84,988989.83,9448.24,982153.81,9448.24,0.00
NLONG11,2026-02-02,10001.25,-15868.10,105.56,104.50,10001.25,1.01,988989.83,15868.10,982153.81,15868.10,0.00
NLONG12,2026-02-02,7944.68,-9448.24,104.41,103.58,7944.68,0.80,988989.83,9448.24,982153.81,9448.24,0.00
NLONG13,2026-02-02,3032.93,11462.78,98.94,98.64,3032.93,0.31,988989.83,-11462.78,982153.81,-11462.78,-2.22
NLONG14,2026-02-02,3128.63,8098.10,99.30,98.99,3128.63,0.32,988989.83,-8098.10,982153.81,-8098.10,-1.64
NLONG15,2026-02-02,5829.23,5413.12,101.39,100.80,5829.23,0.59,988989.83,-5413.12,982153.81,-5413.12,-2.01
NLONG16,2026-02-02,3128.63,9088.30,101.44,101.12,3128.63,0.32,988989.83,-9088.30,982153.81,-9088.30,-1.24
NLONG17,2026-02-02,7141.18,-5001.62,100.50,99.78,7141.18,0.72,988989.83,5001.62,982153.81,5001.62,-0.19
NLONG18,2026-02-02,6372.42,-5504.66,100.10,99.46,6372.42,0.64,988989.83,5504.66,982153.81,5504.66,-0.23
NLONG19,2026-02-02,7950.95,-4885.42,102.10,101.29,7950.95,0.80,988989.83,4885.42,982153.81,4885.42,-0.49
NLONG2,2026-02-02,-5867.28,7601.31,97.68,98.26,-5867.28,-0.59,988989.83,-7601.31,982153.81,-7601.31,-3.04
NLONG20,2026-02-02,5948.96,-5146.49,102.21,101.60,5948.96,0.60,988989.83,5146.49,982153.81,5146.49,0.00
NLONG21,2026-02-02,7510.42,-6261.79,100.16,99.41,7510.42,0.76,988989.83,6261.79,982153.81,6261.79,-0.46
NLONG22,2026-02-02,6741.66,-6764.83,100.18,99.50,6741.66,0.68,988989.83,6764.83,982153.81,6764.83,-0.29
