System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,,,,,,,,,,,,
Total Tax,2025-11-24,-3175.98,0.00,100.00,100.00,-3175.98,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Equity Holdings Tax,2025-11-24,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Equity Intraday Tax,2025-11-24,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
F&O Tax,2025-11-24,-3175.98,0.00,100.00,100.00,-3175.98,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW F&O Tax,2025-11-24,-3175.98,0.00,100.00,100.00,-3175.98,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
MCX Tax,2025-11-24,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Total Other Debits and Credits,2025-11-24,-9035.96,0.00,100.00,100.00,-9035.96,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Equity Other Debits and Credits,2025-11-24,-9035.96,0.00,100.00,100.00,-9035.96,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
NPSAR,2025-11-24,6267471.85,6243672.40,100.10,100.00,23799.45,0.10,24974689.60,0.00,0.00,0.00,0.00,,,,,,,,,,,,
SPSAR,2025-11-24,6230249.81,6243672.40,99.95,100.00,-13422.59,-0.05,24974689.60,0.00,0.00,0.00,-0.05,,,,,,,,,,,,
NLONG,2025-11-24,74187.42,0.00,100.30,100.00,74187.42,0.30,24974689.44,0.00,0.00,0.00,0.00,,,,,,,,,,,,
SLONG,2025-11-24,-25455.36,0.00,99.90,100.00,-25455.36,-0.10,24974689.44,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
PSAR,2025-11-24,12497721.66,12487344.80,100.02,100.00,10376.86,0.02,49949379.20,0.00,0.00,0.00,0.00,,,,,,,,,,,,
LONG,2025-11-24,48732.06,0.00,100.10,100.00,48732.06,0.10,49949378.88,0.00,0.00,0.00,0.00,,,,,,,,,,,,
